Title,Body,Labels,Milestone
Criar repositório e setup Python + Poetry,Estrutura inicial do projeto e dependências.,"setup,infra",M1 - Configuração Inicial
Configurar .gitignore e convenção de branches,Padronizar branches e ignorar artefatos.,setup,M1 - Configuração Inicial
Pipeline CI: lint e testes,Workflow CI no GitHub Actions com ruff/pytest.,ci/cd,M1 - Configuração Inicial
Configurar pre-commit com ruff e pytest,Adicionar arquivo `.pre-commit-config.yaml` e validar no CI,"setup,ci/cd",M1 - Configuração Inicial
Conector API B3 (histórico),Baixar dados históricos e normalizar colunas.,data,M2 - Coleta e Preparação de Dados
Limpeza e normalização de dados,Tratar NaN/duplicados/timezone e salvar Parquet.,data,M2 - Coleta e Preparação de Dados
Atualização diária automática,Job agendado para atualizar dados.,"automation,data",M2 - Coleta e Preparação de Dados
Implementar RSI + MACD + EMAs,Gerar colunas de indicadores no dataset.,strategy,M3 - Estratégia Base Swing Trade
Regras de entrada/saída,Definir sinais a partir dos indicadores.,strategy,M3 - Estratégia Base Swing Trade
Função de geração de sinais,Consolidar sinais em DataFrame final.,strategy,M3 - Estratégia Base Swing Trade
Módulo de backtesting,Simular operações com custos e slippage simples.,backtesting,M4 - Backtesting Inicial
Relatório de métricas,"Exportar retorno, drawdown e hit ratio.",report,M4 - Backtesting Inicial
Comparação com IBOV,Benchmark buy & hold do IBOV vs estratégia.,analysis,M4 - Backtesting Inicial
Integração com Telegram,Enviar alertas de oportunidade.,alerts,M5 - Notificações e Monitoramento
Template de mensagens,Padronizar mensagem com preço-alvo/stop.,alerts,M5 - Notificações e Monitoramento
Log de notificações,Persistir histórico de alertas enviados.,logging,M5 - Notificações e Monitoramento
Script de varredura de parâmetros,Grid simples de EMAs/RSI/Stops.,optimization,M6 - Ajuste de Parâmetros e Otimização
Teste de stops e alvos,Avaliar combinações de SL/TP.,strategy,M6 - Ajuste de Parâmetros e Otimização
Relatório de otimização,Rankear top-5 configurações.,report,M6 - Ajuste de Parâmetros e Otimização
Selecionar algoritmo (RF/XGB),Escolher e justificar modelo inicial.,ml,M7 - Modelo de ML Básico
Treinar modelo com histórico,Dataset com features e label; treino e validação.,ml,M7 - Modelo de ML Básico
Integrar modelo ao filtro de sinais,Aplicar predição como filtro das regras.,"ml,strategy",M7 - Modelo de ML Básico
Integração corretora (paper),Conectar em modo simulado.,integration,M8 - Paper Trading
Executar trades simulados,Pipeline end-to-end simulando ordens.,automation,M8 - Paper Trading
Log de ordens simuladas,Persistir ordens e resultados.,logging,M8 - Paper Trading
Dashboard local (Streamlit/Grafana),Métricas de execução e erros.,monitoring,M9 - Observabilidade Básica
Log estruturado,"JSON logs com contexto (execução, erros).",logging,M9 - Observabilidade Básica
Alerta de falha de job,Notificar quando job diário falhar.,alerts,M9 - Observabilidade Básica
Gerenciar secrets com .env/Secrets,Variáveis seguras fora do repo.,security,M10 - Segurança e Compliance
Controle de acesso ao bot,Restringir uso e abuso de API/alertas.,security,M10 - Segurança e Compliance
Política de uso seguro,Documentar práticas de segurança.,"docs,security",M10 - Segurança e Compliance
README completo,"Instalação, uso e exemplos.",docs,M11 - Documentação e Guias
Guia de API,Exemplos de requisição/resposta.,docs,M11 - Documentação e Guias
Playbook de retraining/deploy,Passo a passo de rotinas críticas.,docs,M11 - Documentação e Guias
Teste ponta a ponta (5 dias),Pipeline rodando 5 dias seguidos.,qa,M12 - Validação Final do MVP
Validação dos sinais,Revisão dos indicadores/sinais finais.,qa,M12 - Validação Final do MVP
Relatório final do MVP,Publicar resultados e aprendizados.,report,M12 - Validação Final do MVP
